"","name","instruction"
"26","11_brushcup_2","pick up the cup brush,pick up the cup,insert the brush into the cup,clean the cup,put the cup brush back,put the cup back to the fixed position on the table"
"27","11_brushcup","pick up the cup brush,pick up the cup,insert the brush into the cup,clean the cup,put the cup brush back,put the cup back to the fixed position on the table"
"28","10_packplate_2","pick up the plate 1 on the right,put plate 1 in the plate rack,pick up the plate 3 on the left,put plate 2 in the plate rack"
"29","10_packplate","pick up the plate 1 on the right,put plate 1 in the plate rack,pick up the plate 3 on the left,put plate 2 in the plate rack"
"30","open_and_close_01","Grab the oven door handle with one arm, and open the oven door with one arm"
"31","open_and_close_03","Pull the drawer handle with one arm to open the drawer"
"32","open_and_close_04","Pull the drawer handle with one arm to open the drawer"
"33","open_and_close_05","Pull the drawer handle with one arm to open the drawer"
"34","open_and_close_07","Push the drawer handle with one arm to close the drawer"
"35","open_and_close_09","Push the drawer handle with one arm to close the drawer"
"36","pick_and_place_01","Pick up everything from the table with one arm, and put everything on the plate (bowl) with one arm"
"37","pick_and_place_02","Pick up everything from the plate (bowl) with one arm, and put everything on the table with one arm"
"38","pick_and_place_03","Pick up everything from the table with one arm, and put everything in the basket with one arm"
"39","pick_and_place_04","Pick up everything from the basket with one arm, and put everything on the table with one arm"
"40","pick_and_place_05","Pick up the blue block with one arm, and put the blue block on the pink block with one arm"
"41","pick_and_place_06","Pick up the blue block with one arm, and put the blue block on the table with one arm"
"42","pick_and_place_23","pick and place 23"
"43","pick_and_place_30","Place the left cup onto the right cup"
"44","pick_and_place_18","Mobile Marco Cup"
"45","pick_and_place_19","Mobile tennis ball"
"46","pick_and_place_31","Place the right cup onto the left cup"
"47","pick_and_place_11","Take the marker out of the pen holder and place it to the left of the pen holder."
"48","pick_and_place_09","Take strawberry from the bowl"
"49","pick_and_place_10","Put the marker into the pen holder."
"50","pick_and_place_14","Place the pear in the bowl."
"51","blue_cub_on_pink","put blue cube on pink cube"
"52","place_in_bread_on_plate_1","put the bread on a plate"
"53","slide-close_drawer_1","sildeclose drawer"
"54","slide-open drawer","slideopen drawer"
"55","close-cap_lid","closecap lid"
"56","open-cap_lid","opencap lid"
"57","stick target blue on the pink obejct","stick target blue on the pink obejct"
"58","slide_close_drawer","slide close drawer close the drawer"
"59","place_in_toy","put in the toy"
"60","open_cap_trash_can","open the trash can"
"61","piled_on_stack_blue_block_on_pink_block","putthe blue cube up on the purple cube"
"62","open_the_drawer","open the drawer"
"63","place_in_pick_up_and_throw_away","grab it up and put it in the trash"
"64","place_in_bread_on_table_2","put the bread on the table"
"65","place_in_bread_in_basket","put the bread in the basket"
"66","slide_open_drawer","slide open the drawer"
"67","place_in_bread_in_plate","put the bread on a plate"
"68","close_cap_trash_can","close the trash can"
"69","slide_close_drawer_1","slide close the drawer"
"70","place_in_block_on_table","put the cube up on the table"
"71","place_in_bread_on_table","put the bread on the table"
"72","place_in_block_in_plate_1","put the cube in the basket"
"73","open_cap_trash_can_1","open the trash can"
"74","place_in_pick_up_and_throw_away_1","grab it up and put it in the trash"
"75","place_in_bread_in_basket_1","put the bread in the basket"
"76","place_in_bread_in_bread_machine","put the bread in the toaster"
"77","place_in_bread_on_table_1","put the bread on the table"
"78","place_in_yellow_block_on_table","put the yellow cube up on the table"
"79","piled_on_yellow_block_on_purple_block","piled the yellow cube up on the purple cube"
"80","place_in_purple_block_in_plate","put the purple cube on a plate"
"81","place_in_take_bread_and_put_in_plate","put the bread and put it into the plate"
"82","twist_knob_start_bread_machine","twist knob start the bread machine"
"83","place_in_fruit_in_fruit_basket","put the fruit in the basket"
"84","place_in_purple_block_on_table","put the purple cube up on the table"
"85","close_cap_trash_can_1","close the trash can"
"86","push_across_push_away_basket","push away from the basket"
"87","place_in_block","place in the cube"
"88","pull_across_pull_in_basket","pull across the basket"
"89","pick_plate_from_plate_rack","pick plate from plate rack"
"90","place_plate_in_plate_rack","place plate in plate rack"
"91","pick_up_strawberry_from_bowl","pick up strawberry from bowl"
"92","pick_up_strawberry_in_bowl","pick up strawberry in bowl"
"93","pick_apple_into_chest","pick apple into chest"
"94","place_in_rectangular_prism","place in cuboid"
"95","2024_09_20_open_the_box","open the box"
"96","2024_09_20_open_chest","open chest"
"97","place_in_trash","place in trash"
"98","place_in_shape","place in shape"
"99","slide_open_cabinet","slide open wooden cabinet"
"100","2024_09_20_close_the_box","close the box"
"101","place_in_fruit_bread","place in fruit bread"
"102","2024_09_20_pick_fruit_and_bread","pick furit and bread"
"103","place_in_block_1","place in cube"
"104","close_cap_trash_can_2","close trash can"
"105","2024_09_20_close_cabinet","close cabinet"
"106","open_cap_tool_box","open tool case"
"107","close_cap_tool_box","close tool case"
"108","2024_09_20_close_chest","close chest"
"109","place_in_cylinder","place in cylinder"
"110","place_in_block_tennis_ball","place in cube tennis"
"111","open_cap_trash_can_2","open trash can"
"112","2024_09_20_open_cabinet","open cabinet"
"113","slide_close_cabinet","slide close wooden cabinet"
"114","place_in_fruit","place in fruit"
"115","rotate_open_cabinet","rotate open the cabinet"
"116","place_in_fruit_in_basket","put the fruit in the basket"
"117","rotate_close_cabinet","otate close the cabinet"
"118","place_in_fruit_on_table","put the fruit on the table"
"119","close_trash","close trash"
"120","pick_drawer_tool","pick drawer tool"
"121","place_trash","place trash"
"122","open_trash","open trash"
"123","close_drawer","close drawer"
"124","pick_bread_into_plate","put bread into plate"
"125","pick_bread_desk","put  bread on desk"
"126","pick_up_bread_place_on_plate_or_hand","pick up bread and place on plate, if no plate, place on hand"
"127","close_garbage_bin","Close garbage bin "
"128","take_marker_pen","Take marker pen "
"129","open_trash_can","Open trash can "
"130","place_marker","Place marker "
"131","close_lid","Close lid "
"132","open_lid","Open lid "
"133","mobile_marco_cup","Mobile Marco Cup "
"134","flip_marco_cup","Flip Marco Cup "
"135","side_pull_drawer","Side pull drawer "
"136","side_opening_drawer","Side opening drawer "
"137","turn_off_lamp","Turn off lamp "
"138","turn_on_desk_lamp","Turn on desk lamp "
"139","put_the_bread_on_the_table","Put the bread on the table"
"140","apples_placed_on_a_ceramic_plate","Apples placed on a ceramic plate"
"141","put_the_cucumber_on_the_left_side_of_the_bowl","Put the cucumber on the left side of the bowl"
"142","yellow_square_placed_on_ceramic_plate","Yellow square placed on ceramic plate"
"143","chili_peppers_are_placed_on_the_right_side_of_a_plastic_tray","Chili peppers are placed on the right side of a plastic tray"
"144","put_the_red_apple_in_the_bowl","Put the red apple in the bowl"
"145","strawberries_on_a_ceramic_plate","Strawberries on a ceramic plate"
"146","put_potatoes_on_a_ceramic_plate","Put potatoes on a ceramic plate"
"147","bread_is_placed_on_a_ceramic_plate","Bread is placed on a ceramic plate"
"148","yellow_bananas_placed_on_a_plastic_tray","Yellow bananas placed on a plastic tray"
"149","cucumber_placed_on_a_ceramic_plate","Cucumber placed on a ceramic plate"
"150","bananas_placed_on_a_ceramic_plate","Bananas placed on a ceramic plate"
"151","put_the_steamed_buns_on_a_ceramic_plate","Put the steamed buns on a ceramic plate"
"152","chili_peppers_are_placed_on_a_ceramic_plate","Chili peppers are placed on a ceramic plate"
"153","red_apple_placed_in_the_center_of_the_desktop","Red apple placed in the center of the desktop"
"154","pick_up_yellow_pepper_place_on_green_plate","pick up yellow pepper and place on the plate"
"155","plug_insertion","pick up the plug,place it near the board,insert it into the board,press the button"
"156","wipe_panel","pick the rag up,wipe the panel,place it on the desk"
"157","throw_battery","fetch the battery,place it into the box,close the lid of the box"
"158","battery_insertion_with_pullout","put the plug near the board,insert it into the board,press the button,pull the plug out"
"159","plug_extract_from","pull the plug out and thorw away"
"160","plug_pullout_then_press","pull the plug out,throw it away,press the button"
"161","plug_insertion_v2","press the white button,pick up the black plug,place it near the board,insert it into the board"
"162","seal_stamping","fetch the seal,press it twice on the table,place it back to the orignal position"
"163","push_break_pick_shelf_insert_machine_press_switch_place_plate","push plate across desktop,pick up the break from the shelf,insert it into mochine,press the switch,place the break in the plate"
"164","pour_bread_then_place","pick up the cup,pour liquid into bread,place the cup on the desk"
"165","push_bewak_pick_machine_place_plate","push plate across desktop,pick up the break from the machine,place the break in the plate"
"166","pick_shelf_insert_machine_press_switch_place_plate","pick up the break from the shelf,insert it into mochine,press the switch,place the break in the plate"
"167","plate_push","push plate across desktop"
"168","place_button_then_press","pick up the button,place it on the desk,press the button,press the button"
"169","brick_piled_then_press_thrice","pick up the brick,pile it on top of brick,press brick,pick up the brick,pile it on top of brick,press brick"
"170","place_button","pick up the button,place it on the desk,press the button,press the button"
"171","gear_place","pick up the big nut,place it into the box,pick up the small nut,place it into the box"
"172","nut_place","pick up the nut,place it into the box,pick up the nut,place it into the box"
"173","cylinder_pick_box_place_close","pick up the cylinder from the cube,place it in the box,flap close box"
"174","tool_liftn_box_place","lift tool from toolbox,place it in box,lift tool from toolbox,place it in box"
"175","throw_battery_twice","pick up the battery,place it into the box"
"176","plug_pullout","pull the plug out of the board,throw away the plug"
"177","switch_manipulation","pick up the switch,place it on the plate,pick up the switch,place it on the plate,press the switch button,press the switch button"
"178","pick_pipe_place_plate_twice","pick pipe place plate twice"
"179","push_cup_pick_cup_insert_cup","push cup pick cup insert cup"
"180","pick_cup_pour_cup_place","pick cup pour cup place"
"181","pick_up_barcode_scanner_scan_the_box_then_place_on_the_table","pick up the barcode scanner and scan the box then place barcode scanner on the table"
"182","triangle_bread_in_basket","place a triangular bread in the basket"
"183","triangle_bread_on_table","place a triangular bread on the table"
"184","triangle_bread_in_basket_1","place a triangular bread in the basket"
"185","close_top_drawer","slide close the top drawer"
"186","close_top_white_drawer","slide close the top white drawer"
"187","close_trash_can","cap close the trash Can"
"188","open_top_drawer","slide open the top drawer"
"189","open_top_white_drawer","slide open the top white drawer"
"190","open_trash_can","Open trash can "
"191","open_pot_lid","uncap open the lid "
"192","put_triangle_bread_in_top_white_drawer","place the triangle bread in the upper white drawer"
"193","put_triangle_bread_in_pot","place the triangle bread in that pan"
"194","put_toast_in_top_white_drawer","place the toast in the upper white drawer"
"195","put_toast_in_pot","put the toast in that pot"
"196","put_round_bread_in_top_white_drawer","place the round bread in the upper white drawer"
"197","put_round_bread_in_trash_can","place the round bread  in the trash can"
"198","put_round_bread_in_pot","place the round bread in that pot"
"199","put_plastic_bottle_in_trash_can","place plastic bottle in the trash can"
"200","put_green_onion_in_pot","place the green onion in the pot"
"201","put_mangosteen_in_top_white_drawer","place the mangosteen in the upper white drawer"
"202","put_square_bread_in_top_white_drawer","place the square bread in the upper white drawer"
"203","put_square_bread_in_trash_can","place the square bread in the trash can"
"204","put_can_in_trash_can","place the cans in the trash can"
"205","put_pear_in_top_white_drawer","place the pear in the upper white drawer"
"206","put_donut_in_top_white_drawer","place the donuts in the upper white drawer"
"207","put_donut_in_pot","place the donuts in that pot"
"208","put_red_pepper_in_top_white_drawer","place the red pepper in the upper white drawer"
"209","put_red_pepper_in_pot","place the red pepper in that pot"
"210","put_paper_ball_in_trash_can","place the paper ball in the trash"
"211","put_green_pepper_in_top_white_drawer","place the green pepper in the upper white drawer"
"212","put_green_pepper_in_pot","place the green chilies in that pot"
"213","put_pot_lid_on_table","place the lid on the table"
"214","put_long_bread_in_top_white_drawer","place the long bread in the upper white drawer"
"215","put_long_bread_in_trash_can","place the long bread in the trash can"
"216","put_long_bread_in_pot","place the long bread in that pot"
"217","put_bread_in_pot","place the bread in that pot"
"218","put_bread_slice_in_top_white_drawer","place the bread slice in the upper white drawer"
"219","put_bread_slice_in_pot","place the bread slice in that pot"
"220","put_banana_in_top_drawer","place the banana in the top drawer"
"221","put_egg_in_top_white_drawer","place the egg in the upper white drawer"
"222","put_egg_in_pot","place the egg in that pot"
"223","put_yellow_pepper_in_top_drawer","place the yellow pepper in the top drawer"
"224","put_yellow_pepper_in_top_white_drawer","place the yellow pepper in the upper white drawer"
"225","put_yellow_pepper_in_pot","place the yellow pepper in that pot"
"226","pick_up_triangle_bread","pick up the triangle bread"
"227","pick_up_toast","pick up the toast"
"228","pick_up_round_bread","pick up the round bread"
"229","pick_up_round_bread_1","pick up the bread"
"230","pick_up_plastic_bottle","pick up the plastic bottle"
"231","pick_up_green_onion","pick up the green onion"
"232","pick_up_mangosteen","pick up mangosteen"
"233","pick_up_square_bread","pick up the square bread"
"234","pick_up_can","pick up the cans"
"235","pick_up_pear","pick up the pear"
"236","pick_up_donut","pick up the donuts"
"237","pick_up_red_pepper","pick up the red pepper"
"238","pick_up_paper_ball","pick up the paper ball"
"239","pick_up_green_pepper","pick up the green chilies"
"240","pick_up_pot_lid","uncap open the pot lid"
"241","pick_up_long_bread","pick up the long bread"
"242","pick_up_bread","pick up the bread"
"243","pick_up_bread_slice","pick up the bread slice"
"244","pick_up_banana","pick up the banana"
"245","pick_up_egg","pick up the egg"
"246","pick_up_yellow_pepper","pick up the yellow pepper"
"247","square_bread_in_basket","place the bread in a basket"
"248","cover_pot_lid","cap close the pot lid"
"249","red_pepper_in_basket","place the red peppers in a basket"
"250","red_pepper_on_table","place the red pepper on the table"
"251","green_pepper_in_basket","place the green peppers in a basket"
"252","green_pepper_on_table","place the green pepper in a basket"
"253","green_pepper_in_basket_1","place the green pepper in a basket"
"254","bread_in_basket_old","place the bread in the basket"
"255","bread_in_basket_1","place the bread in the basket"
"256","yellow_pepper_in_basket","place the yellow pepper in a basket"
"257","yellow_pepper_on_table","place the yellow pepper on the table"
"258","yellow_pepper_in_basket_1","place the yellow pepper in a basket"
"259","pickupthebananafromthetable","pick up the banana from the table"
"260","placebananaonaplate","place bananas on a plate"
"261","pickupthebananafromtheplate","pick up the banana from the plate"
"262","putthebananaonthetable","place the banana in the table"
"263","pick_up_yellow_pepper_from_table","pick up the yellow pepper from the table"
"264","yellow_pepper_on_plate","place the yellow pepper on the plate"
"265","pick_up_yellow_pepper_from_plate","pick up the yellow pepper from the plate"
"266","pick_up_yellow_pepper_from_table_copy_1734079574938","pick up the yellow pepper from the table"
"267","yellow_pepper_on_plate_copy_1734079761061","place the yellow pepper on the plate"
"268","pick_up_yellow_pepper_from_plate_copy_1734079773826","pick up the yellow pepper from the plate"
"269","pick_up_green_pepper_from_table","pick up the green pepper from the table"
"270","green_pepper_on_plate","place the green pepper on the plate"
"271","pick_up_green_pepper_from_plate","pick up the green pepper from the plate"
"272","green_pepper_on_the_table","place the green pepper on the table"
"273","pick_up_red_pepper_from_table","pike up the red pepper from the table"
"274","red_pepper_on_plate","place the red pepper on the plate"
"275","pick_up_red_pepper_from_plate","pick up the red pepper from the plate"
"276","red_pepper_in_table","place the red pepper on the table"
"277","cap_close_the_trash_can_1025","cap close the trash can"
"278","uncap_open_the_trash_can_1025","uncap open the trash can"
"279","put_mangosteen_in_the_trash_1025","place mangosteen in the trash can"
"280","pick_up_the_flowers_from_the_table_1025","pick up the flowers from the table"
"281","pick_up_the_flowers_from_the_vase_1025","pick up the flowers from the vase"
"282","insert_the_flowers_from_the_vase_1025","insert the flowers into the vase"
"283","place_the_flowers_on_the_table_1025","place the flowers on the table"
"284","put_the_bananas_in_the_trash_1025","place the banana in the trash can"
"285","put_the_eggs_in_the_trash_1025","place the egg in the trash can"
"286","pick_up_mangosteen_1025","pick up mangosteen"
"287","pick_up_the_banana_1025","pick up the banana"
"288","pick_up_the_eggs_1025","pick up the egg"
"289","pick_up_the_flowers_from_the_table_1028","pick up the flowers from the table"
"290","pick_up_the_flowers_from_the_vase_1028","pick up the flowers from the vase"
"291","insert_the_flowers_from_the_vase_1028","insert the flowers into the vase"
"292","place_the_flowers_on_the_table_1028","place the flowers on the table"
"293","pick_up_the_flowers_from_the_table_1029","pick up the flowers from the table"
"294","pick_up_the_flowers_from_the_vase_1029","pick up the flowers from the vase"
"295","insert_the_flowers_from_the_vase_1029","insert the flowers into the vase"
"296","place_the_flowers_on_the_table_1029","place the flowers on the table"
"297","pick_up_the_flowers_from_the_table_1030","pick up the flowers from the table"
"298","pick_up_the_flowers_from_the_vase_1030","pick up the flowers from the vase"
"299","insert_the_flowers_from_the_vase_1030","insert the flowers from the vase"
"300","place_the_flowers_on_the_table_1030","place the flowers on the table"
"301","pick_up_the_flowers_from_the_table_1031","pick up the flowers from the table"
"302","pick_up_the_flowers_from_the_vase_1031","pick up the flowers from the vase"
"303","insert_the_flowers_from_the_vase_1031","insert the flowers into the vase"
"304","place_the_flowers_on_the_table_1031","place the flowers on the table"
"305","pick_up_the_flowers_from_the_table_1101","pick up the flowers from the table"
"306","pick_up_the_flowers_from_the_vase_1101","pick up the flowers from the vase"
"307","insert_the_flowers_from_the_vase_1101","insert the flowers into the vase"
"308","place_the_flowers_on_the_table_1101","place the flowers on the table"
"309","pick_up_the_yellow_peppers_from_the_table_1101","pick up the yellow pepper from the table"
"310","pick_up_the_yellow_peppers_from_the_basket_1101","pick up the yellow pepper from the basket"
"311","place_the_yellow_peppers_on_the_table_1101","place the yellow pepper on the table"
"312","put_the_yellow_peppers_in_a_basket_1101","place the yellow pepper in a basket"
"313","put_the_garbage_in_the_trash_can_1104","place the trash in the trash can"
"314","uncap_open_the_trash_can_1104","uncap open the trash can"
"315","pick_up_the_oranges_from_the_table_1104","pick up the orange from the table"
"316","pick_up_the_oranges_from_the_basket_1104","pick up the orange from the basket"
"317","place_the_oranges_on_the_table_1104","place the orange on the table"
"318","put_the_oranges_in_the_basket_1104","place the orange in the basket"
"319","pick_up_the_mango_from_the_table_1104","pick up the mango from the table"
"320","pick_up_the_mangoes_from_the_basket_1104","pick up the mango from the basket"
"321","place_the_mango_on_the_table_1104","place the mango on the table"
"322","put_the_mango_in_the_basket_1104","place the mango in the basket"
"323","put_the_garbage_in_the_trash_can_1105","place the trash in the trash can"
"324","cap_close_the_trash_can_1105","cap close the trash can"
"325","uncap_open_the_trash_can_1105","uncap open the trash can"
"326","put_the_garbage_in_the_trash_can_1106","place the trash in the trash can"
"327","cap_close_the_trash_can_1106","cap close the trash can"
"328","uncap_open_the_trash_can_1106","uncap open the trash can"
"329","put_the_garbage_in_the_trash_can_1107","place the trash in the trash can"
"330","cap_close_the_trash_can_1107","cap close the trash can"
"331","uncap_open_the_trash_can_1107","uncap open the trash can"
"332","cap_close_the_trash_can_1108","cap close the trash can"
"333","uncap_open_the_trash_can_1108","uncap open the trash can"
"334","put_the_garbage_in_the_trash_can_1111","place the trash in the trash can"
"335","cap_close_the_trash_can_1111","cap close the trash can"
"336","uncap_open_the_trash_can_1111","uncap open the trash can"
"337","put_the_garbage_in_the_trash_can_1112","place the trash in the trash can"
"338","cap_close_the_trash_can_1112","cap close the trash can"
"339","uncap_open_the_trash_can_1112","uncap open the trash can"
"340","put_the_garbage_in_the_trash_can_1113","place the trash in the trash can"
"341","cap_close_the_trash_can_1113","cap close the trash can"
"342","uncap_open_the_trash_can_1113","uncap open the trash can"
"343","put_the_garbage_in_the_trash_can_1114","place the trash in the trash can"
"344","cap_close_the_trash_can_1114","cap close the trash can"
"345","uncap_open_the_trash_can_1114","uncap open the trash can"
"346","put_the_garbage_in_the_trash_can_1118","place the trash in the trash can"
"347","cap_close_the_trash_can_1118","cap close the trash can"
"348","uncap_open_the_trash_can_1118","uncap open the trash can"
"349","pick_up_the_oranges_from_the_table_1119","pick up the orange from the table"
"350","pick_up_the_oranges_from_the_basket_1119","pick up the orange from the basket"
"351","place_the_oranges_on_the_table_1119","place the orange on the table"
"352","put_the_oranges_in_the_basket_1119","place the orange in the basket"
"353","pick_up_the_mango_from_the_table_1120","pick up the mango from the table"
"354","pick_up_the_mangoes_from_the_basket_1120","pick up the mango from the basket"
"355","place_the_mango_on_the_table_1120","place the mango on the table"
"356","put_the_mango_in_the_basket_1120","place the mango in the basket"
"357","pick_up_the_green_vegetable_from_the_table_1121","pick up the green vegetable from the table"
"358","pick_up_the_green_vegetable_from_the_basket_1121","pick up the green vegetable from the basket"
"359","place_the_green_vegetable_on_the_table_1121","place the green vegetable on the table"
"360","put_the_green_vegetable_in_the_basket_1121","place the green vegetable in the basket"
"361","pick_up_the_sweet_potato_from_the_table_1122","pick up the sweet potato from the table"
"362","pick_up_the_sweet_potato_from_the_basket_1122","pick up the sweet potato from the basket"
"363","place_the_sweet_potato_on_the_table_1122","place the sweet potato on the table"
"364","put_the_sweet_potato_in_the_basket_1122","place the sweet potato in the basket"
"365","pick_up_the_cucumber_from_the_table_1125","pick up the cucumber from the table"
"366","pick_up_the_cucumber_from_the_basket_1125","pick up the cucumber from the basket"
"367","place_the_cucumber_on_the_table_1125","place the cucumber on the table"
"368","put_the_cucumber_in_the_basket_1125","place the cucumber in the basket"
"369","pick_up_the_flowers_from_the_table_1126","pick up the flowers from the table"
"370","pick_up_the_flowers_from_the_vase_1126","pick up the flowers from the vase"
"371","insert_the_flowers_from_the_vase_1126","insert the flowers from the vase"
"372","place_the_flowers_on_the_table_1126","place the flowers on the table"
"373","1_potatooven","take the corn from the table,turn on the oven ,put the corn in,turn off the oven"
"374","4_potatobowloven","take the potato from the table,put the potato in the blue bowl,turn on the oven,put the bowl in the oven,turn off the oven"
"375","6_applebowloven","take the apple from the table,put the apple in the blue bowl,turn on the oven,put the bowl in the oven,turn off the oven"
"376","7_applegreenplate","take the green plate from the plate rack,put the plate on the table,take the apple from the table,put the apple in the plate"
"377","8_appleblueplate","take the blue plate from the plate rack,put the plate on the table,take the apple from the table,put the apple in the plate"
"378","9_appleyellowplate","take the yellow plate from the plate rack,put the plate on the table,take the apple from the table,put the apple in the plate"
"379","19_takebread","take the bread from the toaster,put the bread on the plate,put the plate on the table"
"380","20_takecorn","take the corn out from the steamer,put the corn on the plate,close the lid"
"381","26_cleanplate","pick up the plate,pick up the cloth,clean the plate with the cloth"
"382","27_carrotgreenplate","take the green plate from the plate rack,put the plate on the table,take the carrot from the table,put the carrot in the plate"
"383","packtable_2","pick up the basket,pick up the corn from the table,pick up the potato from the table,pick up the cucumber from the table,put all items into the basket"
"384","29_steampumpkin","pick up the pumpkin,open the lid,put the pumpkin in the pot,close the lid"
"385","30_takepumpkin","take the pumpkin out from the steamer,put the pumpkin in the blue plate,close the lid"
"386","31_unpackbowl","pick up the green bowl on the top,put the green bowl on the left,pick up the red bowl in the middle,put the red bowl on the right"
"387","32_unpackcup","pick up the cup on the top,put the cup on the left,pick up the cup in the middle,put the cup on the right"
"388","33_putlemon","take the lemon from the basket,put the lemon in the plate,hand out the plate"
"389","3_eggplantoven","take the eggplant from the table,turn on the oven,put the eggplant in,turn off the oven"
"390","18_makebread","pick up a slice of bread from the rack,put the bread on the toaster,press the button"
"391","5_eggoven_2","eggoven"
"392","40_putavocado","putavocado"
"393","35_putcarrot","putcarrot"
"394","36_putpepper","putpepper"
"395","37_putegg","putegg"
"396","39_puttomato","puttomato"
"397","41_putplum","putplum"
"398","1_potatooven_2","take the corn from the table,turn on the oven ,put the corn in,turn off the oven"
"399","18_makebread_2","pick up a slice of bread from the rack,put the bread on the toaster,press the button"
"400","19_takebread_2","take the bread from the toaster,put the bread on the plate,put the plate on the table"
"401","28_packtable_2","pick up the basket,pick up the corn from the table,pick up the potato from the table,pick up the cucumber from the table,put all items into the basket"
"402","4_potatobowloven_2","take the potato from the table,put the potato in the blue bowl,turn on the oven,put the bowl in the oven,turn off the oven"
"403","7_applegreenplate_2","take the green plate from the plate rack,put the plate on the table,take the apple from the table,put the apple in the plate"
"404","8_appleblueplate_2","take the blue plate from the plate rack,put the plate on the table,take the apple from the table,put the apple in the plate"
"405","9_appleyellowplate_2","take the yellow plate from the plate rack,put the plate on the table,take the apple from the table,put the apple in the plate"
"406","42_putkiwifruite","pick up the wifruite,  put it on the bowl, pick up the plate, put it on desk"
"407","43_packplate","pick up the white plate,  put it on the blue plate,  put it on desk"
"408","44_putbluebowlongreenplate","pick up the blue bowl,  put it on the green plate,  put it on desk"
"409","3_eggplantoven_2","take the eggplant from the table,turn on the oven,put the eggplant in,turn off the oven"
"410","20_takecorn_2","take the corn out from the steamer,put the corn on the plate,close the lid"
"411","6_applebowloven_2","take the apple from the table,put the apple in the blue bowl,turn on the oven,put the bowl in the oven,turn off the oven"
"412","grasp_can","Put two types of unopened canned beverages into the trash can"
"413","grasp_tissue_paper","Pick up a tissue and put it into the trash can"
"414","grasp_box","Throw the empty box into the trash can"
"415","plate","Put five different types of small blocks (rectangular prisms, cubes, cylinders, etc.) into the designated plate"
"416","sorting","Sort and put four large blocks of different colors into the boxes of corresponding colors"
"417","stacking","Combine and stack two blocks of different colors together"
"418","bread","Put the bread on the plate"
"419","vegetables","Take various vegetables from the basket and put them on the cutting board"
"420","fruits","Take various fruits from the basket and put them on the plate, then put the fork on the plate"
"421","grill","Pick up the lobster from the grill and put it in the box"
"422","open_drawer","Pull open the drawer"
"423","towel_rack","Take the rag from the cutting board and put it on the holder"
"424","corn_basket_bread_greenbox","Put corn into the basket, then take the bread from the basket and put it in the box"
"425","steamedstuffedbun_plate","Take various forms of steamed buns and dumplings from the steamer and put them on the plate, then put the chopsticks on the plate"
"426","bread_basket","Put the bread in the basket"
"427","cup_box","Put the water cup in the box"
"428","grasp_green_block","Put four colored blocks into the trash can"
"429","grasp_red_block","Put four colored blocks into the trash can"
"430","grasp_yellow_block","Put four colored blocks into the trash can"
"431","banana_plate","Put the banana on the plate"
"432","bread_in_basket","Put bread into the basket"
"433","bread_on_table","bread on the table"
"434","put_bread_into_plate","put bread into plate"
"435","Put_the_blue_plate_bread_into_the_wooden_plate","Put the blue plate bread into the wooden plate"
"436","Put_the_green_plate_of_bread_into_a_wooden_plate","Put the green plate of bread into a wooden plate"
"437","put_the_bread_on_a_green_plate","put the bread on a green plate"
"438","put_the_bread_on_a_blue_plate","put the bread on a blue plate"
"439","put_the_bread_on_a_plate","put the bread on a plate"
